timestamp,user,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9
2025-01-01 00:00:00,user2,7107,6606,6130,3757,5532,5085,6099,4907,7364
2025-01-01 00:00:00,user3,2947,2103,896,2849,2503,3138,1586,1463,3356
2025-01-01 00:00:00,user4,4616,5282,5309,6230,4336,4436,4922,3917,5227
2025-01-01 00:00:00,user5,2229,2063,2126,729,1728,1746,819,711,2373
2025-01-01 00:00:00,user6,520,739,148,11,85,350,705,169,786
2025-01-01 00:00:00,user8,4173,2447,2655,2652,3551,3467,4112,3485,4321
2025-01-01 00:00:00,user9,3103,3016,2070,2090,2227,2598,1815,2175,2332
2025-01-01 00:00:00,user11,4836,5324,4223,5713,4057,3670,4821,4166,4125
2025-01-01 00:00:00,user13,3981,5094,4098,5172,4523,4425,3760,5554,4582
2025-01-01 00:00:00,user14,2545,1262,1621,1359,589,862,1913,2216,2335
2025-01-01 00:00:00,user15,1815,1886,1316,2202,1690,2145,2500,1633,1709
2025-01-01 00:00:00,user16,1966,2368,947,3073,2676,853,1360,2140,1239
2025-01-01 00:00:00,user17,2663,2239,1843,2193,2877,1862,1760,2575,2713
2025-01-01 00:00:00,user19,4143,2779,4950,4203,5611,4401,3925,1679,4577
2025-01-01 00:00:00,user21,1743,3548,3006,1655,2015,2767,1880,1174,947
2025-01-01 00:00:00,user22,1561,1990,2437,1045,384,941,1262,1238,1224
2025-01-01 00:00:00,user23,7810,7697,7698,4729,4460,7248,6499,6330,5377
2025-01-01 00:00:00,user24,4232,4432,4831,3484,3381,2698,4118,3438,4862
2025-01-01 00:00:00,user25,1914,2199,2228,2432,2247,1241,843,2163,1640
2025-01-01 00:00:00,user27,5112,3752,4236,3927,4020,4005,3346,3606,5410
2025-01-01 00:00:00,user28,4048,3845,2633,2783,3576,3680,2951,2636,3191
2025-01-01 00:00:00,user29,893,1389,604,1453,1540,1292,1088,1255,755
2025-01-01 00:00:00,user31,4460,4664,4082,5373,5495,4770,5113,5100,3873
2025-01-01 00:00:00,user32,675,1665,719,554,1380,1364,361,1048,698
2025-01-01 00:00:00,user33,2724,4823,2909,4776,1733,4048,3478,2452,4809
2025-01-01 00:00:00,user35,2311,2133,1738,1845,2368,2626,2175,1311,1836
2025-01-01 00:00:00,user36,3016,2041,2000,1133,2653,3141,2137,3361,3299
2025-01-01 00:00:00,user37,2465,3142,2652,2888,2014,3558,2567,2922,2871
2025-01-01 00:00:00,user39,2660,2652,1693,3351,2065,2485,2825,3108,2467
2025-01-01 00:00:00,user40,6186,4230,4316,4212,3193,4992,4503,4974,4357
2025-01-01 00:00:00,user42,3839,2757,4363,5102,2300,4322,3167,4363,3106
2025-01-01 00:00:00,user43,1597,1569,2371,2243,1689,1238,1221,1618,1791
2025-01-01 00:00:00,user44,2877,2442,3535,2130,2640,2194,3414,1600,2015
2025-01-01 00:00:00,user45,3786,2400,2772,1264,2825,3601,2407,2575,2766
2025-01-01 00:00:00,user46,4910,8068,5266,6020,7739,6537,7596,6731,7463
2025-01-01 00:00:00,user47,2545,805,1489,848,659,1232,2010,1908,1035
2025-01-01 00:00:00,user48,3998,6565,5666,4150,3883,6812,3639,4535,5495
2025-01-01 00:00:00,user49,2547,2318,2453,2847,2826,1731,2517,2032,1638
2025-01-01 00:00:00,user51,755,859,168,965,573,700,551,983,501
2025-01-01 00:00:00,user52,2118,1154,1972,2271,1970,1930,2467,1818,1490
2025-01-01 00:00:00,user53,4016,2382,2897,3809,4000,2385,3513,4158,4235
2025-01-01 00:00:00,user55,4065,5976,6235,6921,5020,7652,4612,6841,7629
2025-01-01 00:00:00,user56,2385,2244,2502,2783,2495,2196,1480,1624,2457
2025-01-01 00:00:00,user57,3964,2379,3529,2657,2960,1931,2333,2754,1984
2025-01-01 00:00:00,user60,961,1149,1343,1486,1494,1783,2663,1638,1828
2025-01-01 00:00:00,user63,5309,6102,7132,3854,6708,4977,4780,4295,5857
2025-01-01 00:00:00,user65,5561,4864,7253,6714,6824,3255,5005,6176,7410
